BinID,functions,NN20_Refined_49,YN50_Refined_271,NN20_Refined_51,NN50_Refined_206,NN50_Refined_229,NN50_Refined_231,YN15_Refined_23,YN15_Refined_82,YN50_Refined_114,YN50_Refined_145,YN50_Refined_152,YN50_Refined_168,YN50_Refined_23,YN50_Refined_246,YN50_Refined_313,YN50_Refined_62,YN50_Refined_263,YN50_Refined_154,NN50_Refined_182,YN10_Refined_109,YN50_Refined_215,NN50_Refined_170,NN50_Refined_95,YN50_Refined_224,YN50_Refined_244,YN50_Refined_25,NN50_Refined_149
K00595,K00595,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0
K00768,K00768,0,0,1,0,0,1,0,2,3,0,1,0,2,1,0,0,0,2,0,0,0,1,2,0,2,1,0
K00798,K00798,0,1,1,1,1,1,1,1,2,1,1,2,1,1,0,1,1,2,1,1,1,1,2,2,1,1,0
K02188,K02188,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K02189,K02189,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0
K02224,K02224,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0
K02225,K02225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
K02226,K02226,1,0,6,6,0,4,6,4,4,2,4,0,6,5,4,2,0,2,1,2,1,0,3,0,1,0,0
K02227,K02227,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0
K02228,K02228,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
K02229,K02229,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
K02230,K02230,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,2
K02231,K02231,0,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0
K02232,K02232,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0
K02233,K02233,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0
K02302,K02302,1,1,2,2,1,3,2,2,2,1,2,1,1,3,0,1,1,0,0,0,2,1,1,1,0,1,1
K02303,K02303,1,1,2,2,1,3,2,2,3,2,2,1,2,3,0,2,1,1,1,1,2,1,2,1,0,1,1
K02304,K02304,1,1,1,1,1,2,1,3,2,1,1,1,2,1,0,2,1,1,1,0,0,1,2,1,0,1,0
K03394,K03394,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
K03399,K03399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
K03795,K03795,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,2,1,0,0,0,0,1,2,1,0,1,0
K05895,K05895,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
K05934,K05934,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0
K05936,K05936,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
K06042,K06042,0,0,0,0,0,0,0,3,1,0,1,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0
K09882,K09882,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
K09883,K09883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
K13540,K13540,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
K13541,K13541,0,0,0,1,0,2,1,5,2,0,0,0,1,1,0,0,0,0,0,0,0,1,3,1,0,1,0
K13542,K13542,3,3,1,1,1,3,1,4,3,2,1,1,2,4,1,3,4,2,3,3,3,4,3,3,1,4,3
K19221,K19221,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
K21479,K21479,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
K22316,K22316,2,1,2,1,1,0,1,2,1,0,1,1,2,2,0,1,0,2,1,1,0,0,0,0,0,0,0